school_name,category,value
GREEN,hi_pct,0.6088328075709779
HALE,hi_pct,0.054878048780487805
HALL,hi_pct,0.08
HIAWATHA,hi_pct,0.1067193675889328
HOWE,hi_pct,0.17889908256880735
KENNY,hi_pct,0.06183368869936034
KENWOOD,hi_pct,0.06537530266343826
LAKE HARRIET LOWER,hi_pct,0.011516314779270634
LIND,hi_pct,0.0472636815920398
LK NOKOMIS WENONAH,hi_pct,0.12
LORING,hi_pct,0.08557457212713937
LUCY LANEY @ CLVLND,hi_pct,0.036855036855036855
LYNDALE,hi_pct,0.11860940695296524
NELLIE STONE JOHNSON,hi_pct,0.3380281690140845
NORTHROP,hi_pct,0.09036144578313253
PILLSBURY,hi_pct,0.26005361930294907
PRATT,hi_pct,0.050724637681159424
SHERIDAN,hi_pct,0.2543859649122807
WAITE PARK,hi_pct,0.13238770685579196
WEBSTER COMMUNITY,hi_pct,0.12946428571428573
WHITTIER,hi_pct,0.2495511669658887
WINDOM,hi_pct,0.47160068846815834
ANDERSEN UNITED,hi_pct,0.5542035398230089
ANISHINABE ACAD,hi_pct,0.12871287128712872
BARTON,hi_pct,0.040927694406548434
FIELD,hi_pct,0.043052837573385516
FOLWELL FINE ARTS,hi_pct,0.5596221959858324
HMONG INTERNATIONAL,hi_pct,0.03386454183266932
JEFFERSON,hi_pct,0.5030181086519114
LAKE HARRIET UPPER,hi_pct,0.048265460030165915
LK NOKOMIS KEEWAYDIN,hi_pct,0.17672413793103448
MARCY OPEN,hi_pct,0.09461235216819974
SEWARD,hi_pct,0.07035755478662054
SULLIVAN,hi_pct,0.04208754208754209
ANTHONY,hi_pct,0.09424083769633508
ANWATIN NEW,hi_pct,0.36203866432337434
FRANKLIN,hi_pct,0.17326732673267325
JUSTICE PAGE,hi_pct,0.18890200708382526
NORTHEAST,hi_pct,0.19615384615384615
OLSON MIDDLE,hi_pct,0.08469945355191257
SANFORD,hi_pct,0.18621399176954734
EDISON HIGH,hi_pct,0.19003115264797507
FAIR HIGH SCHOOL,hi_pct,0.12962962962962962
HENRY HIGH,hi_pct,0.09156844968268359
HERITAGE,hi_pct,0
NORTH HIGH,hi_pct,0.02708803611738149
ROOSEVELT HIGH,hi_pct,0.35113748763600394
SOUTH HIGH,hi_pct,0.1665741254858412
SOUTHWEST HIGH,hi_pct,0.10867293625914315
WASHBURN HIGH,hi_pct,0.18617343844754397
MACC,hi_pct,0.2413793103448276
LONGFELLOW,hi_pct,0.42528735632183906
WELLSTONE,hi_pct,0.37583892617449666
WELLSTONE SWS,hi_pct,0.38095238095238093
HARRISON SEC CTR,hi_pct,0.030303030303030304
RIVER BEND ED CNT,hi_pct,0.02531645569620253
TRANSITION PLUS,hi_pct,0.15037593984962405
AMERICAN IND OIC,hi_pct,0
CENTER SCHOOL,hi_pct,0.3142857142857143
LORING-NICOLLET,hi_pct,0.11666666666666667
MENLO PARK,hi_pct,0.07246376811594203
MERC,hi_pct,0.25
PLYMOUTH YTH CTR,hi_pct,0.08108108108108109
RON MCDONALD HOUSE,hi_pct,0
VOA PHOENIX,hi_pct,0.3333333333333333
Total,hi_pct,0.1774449739051509
ARMATAGE,wh_num,408
BANCROFT,wh_num,92
BETHUNE,wh_num,22
BRYN MAWR,wh_num,27
BURROUGHS,wh_num,583
CITYVIEW COMMUNITY,wh_num,22
DOWLING,wh_num,235
EMERSON SILC,wh_num,69
FAIR ELEMENTARY,wh_num,2
GREEN,wh_num,11
HALE,wh_num,501
HALL,wh_num,12
HIAWATHA,wh_num,162
HOWE,wh_num,132
KENNY,wh_num,332
KENWOOD,wh_num,277
LAKE HARRIET LOWER,wh_num,445
LIND,wh_num,28
LK NOKOMIS WENONAH,wh_num,203
LORING,wh_num,140
LUCY LANEY @ CLVLND,wh_num,20
LYNDALE,wh_num,171
NELLIE STONE JOHNSON,wh_num,14
NORTHROP,wh_num,364
PILLSBURY,wh_num,63
PRATT,wh_num,81
SHERIDAN,wh_num,42
WAITE PARK,wh_num,235
WEBSTER COMMUNITY,wh_num,92
WHITTIER,wh_num,121
WINDOM,wh_num,267
ANDERSEN UNITED,wh_num,21
ANISHINABE ACAD,wh_num,8
BARTON,wh_num,375
FIELD,wh_num,383
FOLWELL FINE ARTS,wh_num,91
HMONG INTERNATIONAL,wh_num,8
JEFFERSON,wh_num,17
LAKE HARRIET UPPER,wh_num,572
LK NOKOMIS KEEWAYDIN,wh_num,242
MARCY OPEN,wh_num,317
SEWARD,wh_num,329
SULLIVAN,wh_num,17
ANTHONY,wh_num,425
ANWATIN NEW,wh_num,74
FRANKLIN,wh_num,7
JUSTICE PAGE,wh_num,423
NORTHEAST,wh_num,115
OLSON MIDDLE,wh_num,41
SANFORD,wh_num,402
EDISON HIGH,wh_num,162
FAIR HIGH SCHOOL,wh_num,69
HENRY HIGH,wh_num,77
HERITAGE,wh_num,1
NORTH HIGH,wh_num,11
ROOSEVELT HIGH,wh_num,219
SOUTH HIGH,wh_num,591
SOUTHWEST HIGH,wh_num,1044
WASHBURN HIGH,wh_num,875
MACC,wh_num,1
LONGFELLOW,wh_num,2
WELLSTONE,wh_num,2
WELLSTONE SWS,wh_num,0
HARRISON SEC CTR,wh_num,3
RIVER BEND ED CNT,wh_num,9
TRANSITION PLUS,wh_num,61
AMERICAN IND OIC,wh_num,3
CENTER SCHOOL,wh_num,0
LORING-NICOLLET,wh_num,23
MENLO PARK,wh_num,16
MERC,wh_num,8
PLYMOUTH YTH CTR,wh_num,3
RON MCDONALD HOUSE,wh_num,3
VOA PHOENIX,wh_num,7
Total,wh_num,12230
ARMATAGE,wh_pct,0.68
BANCROFT,wh_pct,0.174573055028463
BETHUNE,wh_pct,0.07236842105263158
BRYN MAWR,wh_pct,0.07736389684813753
BURROUGHS,wh_pct,0.7610966057441253
CITYVIEW COMMUNITY,wh_pct,0.0707395498392283
DOWLING,wh_pct,0.4709418837675351
EMERSON SILC,wh_pct,0.13911290322580644
FAIR ELEMENTARY,wh_pct,0.08
GREEN,wh_pct,0.03470031545741325
HALE,wh_pct,0.7637195121951219
HALL,wh_pct,0.05333333333333334
HIAWATHA,wh_pct,0.6403162055335968
